CardHoldersName,Card_Number,Expiry_Date,ShipToAddress,ShipToAddress1,ShipToCity,ShipToCountry,ShipToCustomerNumber,ShipToEmail,ShipToName,ShipToPhone,ShipToState,ShipToZip,RandZip,CardHoldersName_1,OrderDollarAmount,NumItems,AvgLineItemPrice,ZipDistance,BillingShippingZipEqual,reported_as_fraud
Wallace Gillespie,6011950185192655,318,,37693 South Denver Ln.,Easthampton,USA,965094,Kenneth@inceptos.us,Aristotle *Clayton,444-678-0152,WA,50378,82999,Wallace Gillespie,62.7,2,29.5,,0,1.00
Zenaida Lang,5243450170837101,321,,55392 South Ukraine St.,Hialeah,USA,128314,Vance@lacus.us,Russell *Heath,488-575-3106,LA,13245,27542,Zenaida Lang,,0,,,0,0.00
Fitzgerald Vang,4485943441823116,1021,,85079  American Samoa Ct.,Yuma,USA,621780,Maile@semper.net,Paula *Luna,599-969-9528,FL,49923,24626,Fitzgerald Vang,350.6,2,165,,0,0.00
Hamish Day,5558516321854119,1021,,73092 East Areceibo Ave.,San Jose,USA,175454,Bert@montes.org,Hamish *Day,483-616-2756,TN,33029,33029,Hamish Day,593.6,3,186.7,0,1,0.00
Ethan Serrano,371404516919623,423,,56906 East Bangor Way,Sioux Falls,USA,887710,Callie@nisl.com,Ethan *Serrano,674-078-1428,UT,35487,35487,Ethan Serrano,307.4,3,94,0,1,0.00
Oscar Valencia,4024007140048975,1019,,97086 South Saint Pierre and Miquelon Ln.,McKeesport,USA,777214,Zena@Proin.edu,Oscar *Valencia,484-220-5284,MI,79808,79808,Oscar Valencia,1332.4,3,418,,1,1.00
Astra Franco,5456744897241981,722,,66522 South Costa Mesa Blvd.,Douglas,USA,235214,Abra@Praesent.net,Astra *Franco,653-065-4087,MN,65936,65936,Astra Franco,3697.5,2,1740,,1,0.00
McKenzie Dixon,5350831457818832,621,,84374 South Brunei Darussalam Ln.,Escondido,USA,202911,Shea@nisi.org,McKenzie *Dixon,115-079-5982,FL,66513,66513,McKenzie Dixon,3453.1,3,1083.3,,1,1.00
Audrey Harrison,348262648527999,1122,,48088 North Suriname Blvd.,North Las Vegas,USA,901472,Dale@Lorem.org,Audrey *Harrison,686-015-2391,VA,21832,21832,Audrey Harrison,1604.4,3,503.3,,1,0.00
Ishmael Witt,4485784892240248,519,,1875 North Hawthorne Ave.,Nampa,USA,386684,Ivana@pede.com,Wylie *Grimes,743-994-3173,UT,80176,45499,Ishmael Witt,5992.5,5,1128,,0,1.00
Maya Webster,344237763578849,218,,26443  Claremore Way,Methuen,USA,909981,Carolyn@pellentesque.gov,Paloma *Flynn,270-405-9670,DE,7441,30803,Maya Webster,761.8,5,143.4,,0,0.00
Nicole Randall,4024007197894024,719,,64033  Malawi St.,Bradbury,USA,664027,Brent@luctus.com,Nicole *Randall,152-931-4994,WI,58334,58334,Nicole Randall,1500.2,3,470.7,,1,0.00
Priscilla Walsh,4556444682631338,1118,,88053 East India St.,Tamuning,USA,502519,Barrett@ad.com,Amaya *Odom,456-757-2952,SC,66214,64053,Priscilla Walsh,1488,3,455.7,16.8,0,0.00
Echo Flynn,5338337644570945,1019,,43245 North Andorra Way,Easton,USA,164741,Anthony@vel.com,Echo *Flynn,838-865-2764,AK,14806,14806,Echo Flynn,1839.1,4,423.8,0,1,0.00
Xenos Summers,4532077340287256,820,,32127 North China Way,Bentonville,USA,615703,Zane@ullamcorper.gov,Xenos *Summers,716-831-7914,IL,5760,5760,Xenos Summers,3604,3,1133.3,0,1,0.00
Isadora Wagner,6011157120101342,821,,86354  Cameroon Way,Seaford,USA,977611,Kelly@volutpat.us,Wade *Cross,615-614-9659,MA,38068,10322,Isadora Wagner,404.2,3,123.3,,0,0.00
Kameko Marks,4929144960751952,418,,24034 South Coos Bay Ave.,Chelsea,USA,544825,Nero@risus.com,Kameko *Marks,721-324-5111,WA,72624,72624,Kameko Marks,3844.8,3,1186.7,0,1,1.00
Ora Kane,4024007155573412,721,,85857 West Antarctica St.,Gilbert,USA,691054,Colton@mi.org,Ora *Kane,238-083-7451,MD,10404,10404,Ora Kane,1532.1,4,360.5,,1,0.00
Jescie Albert,5458053450433565,418,,47417  Libyan Arab Jamahiriya Way,East St. Louis,USA,334928,Garrett@consectetuer.gov,Jescie *Albert,787-574-0041,TN,54302,54302,Jescie Albert,325.5,3,103.3,0,1,1.00
Lisandra Hansen,4929094936355653,1121,,8362  Algeria Blvd.,Lakewood,USA,600762,Cathleen@fermentum.net,Martin *Moon,587-970-7137,IL,48180,19624,Lisandra Hansen,3661.2,2,1727,,0,0.00
Autumn Richardson,6011805823098286,521,,86072 West Malta Blvd.,Fulton,USA,949715,Serina@rhoncus.us,Autumn *Richardson,626-101-5157,VA,731,731,Autumn Richardson,791.6,4,177.5,0,1,0.00
Kaseem Lott,6011388714456418,823,,30252 West South Georgia and The South Sandwich Islands Blvd.,Charlotte Amalie,USA,985476,Ainsley@metus.gov,Kaseem *Lott,840-644-1906,AL,96168,96168,Kaseem Lott,2380,4,560,,1,0.00
Caesar Hale,5590351332712977,819,,13219 North Mayotte Ave.,Brigham City,USA,105344,Hedda@ornare.gov,Wallace *Joseph,318-359-7512,OK,50108,56749,Caesar Hale,620.6,2,290,,0,0.00
Zephania Hampton,5173857323583982,1020,,3295 East Kenya Ave.,Chicago Heights,USA,105372,Robert@blandit.org,Odessa *Garrett,482-422-1016,MN,53338,91664,Zephania Hampton,1110.3,4,261.2,,0,0.00
Jordan Sandoval,4539395751399904,521,,44056 South Yemen Blvd.,Nanticoke,USA,507581,Henry@a.edu,Jordan *Sandoval,073-964-5024,ND,96158,96158,Jordan Sandoval,442.8,4,102.5,0,1,0.00
Alexis Brown,372301470969165,820,,13773 East Iraq Way,Grand Rapids,USA,808652,Dora@massa.gov,Helen *Odonnell,106-423-2781,CT,99604,96397,Alexis Brown,527,5,99.2,,0,0.00
Bernard Travis,4445105696557737,222,,65262 South China St.,Radford,USA,492790,Marshall@netus.com,Wing *Downs,597-143-7529,MN,84879,54001,Bernard Travis,775.6,2,365,,0,0.00
Wing Patterson,4532203700271991,619,,32584 South Marshall Islands Ct.,Pendleton,USA,576841,Noble@pharetra.org,Ferdinand *Wilder,975-281-7600,AZ,35407,21451,Wing Patterson,686.7,2,315,,0,0.00
Blaze Taylor,376441157451875,219,,63075 West Bahamas Way,Prescott,USA,896978,Randall@eros.edu,Blaze *Taylor,117-551-1927,MD,58644,58644,Blaze Taylor,1493.1,5,284.4,0,1,0.00
Petra Hopkins,6011452953526081,1020,,97168 West Haiti St.,Ogdensburg,USA,972926,Dacey@tristique.gov,Philip *Harrell,346-113-7375,RI,98115,53548,Petra Hopkins,590.7,5,107.8,,0,0.00
Cody Mcgee,4485619387720835,1123,,64754 West Goose Creek St.,Beaver Falls,USA,730821,Kathleen@mollis.gov,Cody *Mcgee,194-315-2868,SC,73470,73470,Cody Mcgee,1572.5,3,493.3,,1,0.00
Amal Mcdowell,5201173075828443,220,,16953 West Canada Ln.,Valencia,USA,132111,Rogan@lorem.com,Amal *Mcdowell,137-410-3892,SD,51284,51284,Amal Mcdowell,865.9,3,271.7,,1,0.00
Quin Duncan,4024007169466884,623,,32370 North Chile Ln.,Hidden Hills,USA,430350,Noel@leo.gov,Quin *Duncan,774-625-7930,AZ,78799,78799,Quin Duncan,1407.2,2,650,,1,0.00
Jana Whitaker,5388937971328236,622,,29224 North Council Bluffs Ct.,Daly City,USA,237109,Ingrid@sollicitudin.net,Jana *Whitaker,428-066-3942,TX,10883,10883,Jana Whitaker,1935.9,2,911,,1,0.00
Nyssa Meyer,343153025975270,223,,10302 West Estonia Ct.,Hopkinsville,USA,814767,Anne@aliquam.org,Nyssa *Meyer,323-604-7527,ND,60749,60749,Nyssa Meyer,777.8,5,146.4,,1,0.00
Odessa Dudley,5391517477424112,422,,65061 East Algeria Ct.,Bradbury,USA,120563,Murphy@vitae.edu,Odessa *Dudley,285-068-6476,ME,45827,45827,Odessa Dudley,1334.3,3,415.7,0,1,0.00
Stacy Cox,4916967989452656,418,,7042  Rwanda Blvd.,Laughlin,USA,523392,Tamara@purus.net,Felicia *Carter,501-257-9406,DC,53179,48330,Stacy Cox,195.2,2,92.5,242.9,0,0.00
Brady Wolfe,4556009466214583,819,,39537  Afghanistan Ave.,Laconia,USA,444580,Sawyer@feugiat.us,Brady *Wolfe,734-144-9146,MD,90275,90275,Brady Wolfe,1759.3,4,403.5,0,1,0.00
Glenna Miles,4485084933839516,918,,74940 South Greenland St.,Hartford,USA,793182,Jescie@fermentum.gov,Glenna *Miles,185-022-2162,WV,25582,25582,Glenna Miles,361.2,3,113.3,,1,0.00
Simone Morrow,5171122380980924,821,,73838 South Djibouti Ave.,Crown Point,USA,300639,Madeson@ut.us,Simone *Morrow,502-424-9239,WA,550,550,Simone Morrow,536.6,3,168.3,,1,0.00
Tasha Andrews,4929245441184828,221,,33144 South Macao Way,Anchorage,USA,690962,Clementine@est.us,Tasha *Andrews,908-761-8827,IL,77091,77091,Tasha Andrews,3713,3,1143.3,0,1,0.00
Allen Horn,5561308268492581,422,,89486 East Western Sahara St.,Sierra Madre,USA,105673,Wynter@Cum.org,Cynthia *Meyer,256-151-8850,VA,57146,96181,Allen Horn,191.2,2,90,,0,1.00
Jerry Patton,5490616588452507,420,,43573 North Tonga St.,Lincoln,USA,105691,Mohammad@feugiat.net,David *Salas,470-258-3294,MS,8549,90161,Jerry Patton,,0,,,0,0.00
Aladdin Haney,6011683549121439,518,,65102 South Serbia and Montenegro Ln.,San Juan,USA,961259,Harper@vitae.gov,Frances *Carroll,892-972-9121,MO,32663,70553,Aladdin Haney,508.8,2,240,,0,0.00
Bethany Anthony,4929290589832119,723,,31773 North Seychelles Blvd.,Astoria,USA,383663,Fallon@est.com,Bethany *Anthony,517-606-8393,NY,68000,68000,Bethany Anthony,1928.4,2,907.5,,1,1.00
Callum Mendoza,373381609710135,1219,,97340 West United States Minor Outlying Islands Ln.,Lancaster,USA,898921,Yen@pede.com,Warren *Watts,721-330-6731,NY,38309,81166,Callum Mendoza,,0,,,0,0.00
Benjamin Cleveland,341021572281271,518,,75092 North Bosnia and Herzegovina Ct.,Santa Ana,USA,903143,Halla@primis.us,Felix *Rojas,400-366-3105,DC,70217,19901,Benjamin Cleveland,389.9,3,122.3,,0,1.00
Sylvia Welch,6011865993960996,821,,5687 North Cypress Ct.,Farmer City,USA,934487,Kelly@nisi.com,Sylvia *Welch,470-521-7468,DE,64152,64152,Sylvia Welch,6924.2,5,1311.4,0,1,0.00
Clinton Lynn,4024007124651463,819,,8892 North Peru Blvd.,Jeannette,USA,450615,Tanisha@Duis.us,Karleigh *Stafford,938-266-8962,MD,83137,90047,Clinton Lynn,1572.5,3,493.3,,0,0.00
Howard Whitehead,5485499921507064,720,,45820 West Anguilla Ct.,Sandpoint,USA,105848,Ashely@viverra.edu,Nelle *Huffman,593-873-6226,SC,31893,65280,Howard Whitehead,104.1,2,49,,0,0.00
Christine Haney,372374855720834,619,,9577 North Uruguay Ave.,Gallup,USA,915360,Delilah@Class.gov,Christine *Haney,942-622-6968,OH,87178,87178,Christine Haney,3330.9,3,1045,,1,0.00
Amela Price,5594456799856260,1018,,65279  Myanmar Way,San Rafael,USA,341564,Rhona@porta.edu,Amela *Price,001-532-3545,UT,66632,66632,Amela Price,1700,2,800,,1,0.00
Diana Harrell,5226260820606561,318,,50261 East Chile Blvd.,Glen Cove,USA,105962,Oren@facilisi.us,Quon *Bean,371-210-4739,IL,53513,81580,Diana Harrell,,0,,,0,0.00
Isaac Whitehead,5442226812692214,1023,,26702 South Cameroon Way,Mequon,USA,105991,Amela@lobortis.org,Wylie *Booth,726-919-2630,VA,47898,84243,Isaac Whitehead,104.1,2,49,,0,0.00
Hu Sweeney,5229204113383055,318,,64210 South Bermuda Ln.,Macon,USA,277277,Chandler@mauris.org,Hu *Sweeney,817-118-6837,ID,23040,23040,Hu Sweeney,600.2,3,190,0,1,1.00
Nora Good,4146057232566601,921,,86928 West Bolivia Ct.,Pine Bluff,USA,672682,Plato@accumsan.gov,Macey *Hooper,464-286-6212,SD,92024,73123,Nora Good,1960.2,2,907.5,1156.2,0,0.00
Mark Puckett,5380447364468407,418,,13253 South Guyana Blvd.,Rome,USA,156248,Kasimir@ad.us,Mark *Puckett,437-524-2208,DE,90531,90531,Mark Puckett,937.1,4,220.5,,1,0.00
Bruno Pena,4556986512521253,619,,88347 South Guinea Ln.,Rehoboth Beach,USA,665508,Priscilla@mi.us,Bruno *Pena,173-952-0652,CT,57168,57168,Bruno Pena,3235.3,2,1522.5,,1,0.00
Linda Spears,6011387976959267,1018,,29943 South Burkina Faso Blvd.,Galesburg,USA,950868,Althea@venenatis.net,Kiara *Garner,611-042-6215,GA,71735,55181,Linda Spears,222.1,3,69.7,,0,0.00
George Boyer,349749776314330,1120,,1721  Romania Ct.,Kalamazoo,USA,929530,Christen@sed.us,Neville *Cole,446-167-9015,WV,27955,88717,George Boyer,1009.4,2,475,,0,1.00
Lysandra Lancaster,4532063084726683,1118,,66800 East Hattiesburg Way,Atlantic City,USA,354381,Len@In.us,Lysandra *Lancaster,608-837-6717,NJ,35751,35751,Lysandra Lancaster,720.8,3,226.7,0,1,1.00
Blaze Gordon,4485228107500145,122,,29561 West Guadeloupe Ln.,Lander,USA,757633,Leslie@porttitor.org,Blaze *Gordon,204-091-2136,FL,57972,57972,Blaze Gordon,4076.8,5,767.4,,1,1.00
Yeo Vance,344734504654665,722,,95647  Luxembourg Way,Placentia,USA,928533,Oliver@luctus.edu,Yeo *Vance,068-369-6765,LA,37775,37775,Yeo Vance,3284.2,4,772.8,,1,0.00
Maryam Mendoza,4485333992933276,522,,62476  Gloversville Blvd.,Batavia,USA,787522,Malachi@erat.gov,Maryam *Mendoza,124-173-6839,OR,87320,87320,Maryam Mendoza,1724,3,538.3,0,1,1.00
Bevis Leblanc,5335934687089511,521,,9535 North Marshall Islands Blvd.,Springfield,USA,142895,Harlan@egestas.org,Bevis *Leblanc,411-868-3237,NM,98142,98142,Bevis Leblanc,855.3,5,161,,1,0.00
Maya Nielsen,4532123770372901,921,,80979  Cayman Islands Way,Columbus,USA,638848,Erica@Integer.gov,Uriah *Riggs,122-738-1285,MN,55782,97788,Maya Nielsen,515.4,2,240,,0,0.00
Colin Mcguire,4877963120585535,722,,42604 East Brazil Ave.,Chickasha,USA,364116,Kamal@dictum.gov,Malcolm *Dawson,144-952-3200,NC,54392,3049,Colin Mcguire,,0,,,0,0.00
Kermit Morse,379858645689898,620,,96770 North Estonia St.,Princeton,USA,883174,Judah@Integer.us,Brady *Price,601-153-0522,ND,20270,33508,Kermit Morse,3098.5,3,976.7,,0,1.00
Isabella Petersen,4716538933703155,1023,,1571  Henderson Ave.,Pierre,USA,792549,Charles@ridiculus.gov,Jemima *Stout,118-248-6974,UT,50502,32250,Isabella Petersen,207.2,2,97.5,,0,0.00
Xandra Pitts,4556721739861954,1123,,73463 West Fulton Way,Dixon,USA,462587,Henry@Proin.edu,Xandra *Pitts,656-975-2775,NE,99877,99877,Xandra Pitts,1965.6,2,925,,1,0.00
Anthony Christensen,5472565490432713,218,,35440 South Clarksburg St.,Sunnyvale,USA,234221,Martha@lorem.us,Anthony *Christensen,697-016-5340,MO,26595,26595,Anthony Christensen,3591.2,2,1690,,1,0.00
Curran Brooks,6011142829073471,1121,,88098 West Sudan Way,Moraga,USA,986051,Fritz@nec.org,Curran *Brooks,073-288-5884,FL,77390,77390,Curran Brooks,589.7,3,185,,1,1.00
Lester Hunter,5131678560696183,518,,25843 East Bhutan Way,Dearborn,USA,61179,Demetrius@odio.edu,Lester *Hunter,949-086-2202,FL,4795,4795,Lester Hunter,722.5,3,226.7,,1,1.00
Kyra Haynes,6011559912435178,122,,57742  Delta Junction Ct.,Durango,USA,995925,Keith@eros.edu,Kyra *Haynes,965-073-6173,MS,12068,12068,Kyra Haynes,3834,2,1775,0,1,0.00
Quin Carrillo,348131137568774,820,,68702 South Dallas Ave.,Ponce,USA,902499,Kennan@neque.gov,Alexandra *Dorsey,167-355-5586,OH,94156,32281,Quin Carrillo,9010,4,2120,,0,1.00
Carla Fox,5247777845104491,519,,72247 West Mozambique Ave.,Lodi,USA,61192,Faith@Curae.gov,Carla *Fox,651-466-0661,KS,4057,4057,Carla Fox,3660.8,3,1156.7,0,1,0.00
Marsden Clarke,5307216159387191,1123,,77766 West Mauritius Ave.,Sun Valley,USA,169063,Kasper@lacinia.org,Ruby *Rowland,301-711-1988,NV,30064,35111,Marsden Clarke,413.4,2,195,151,0,1.00
Rogan Sawyer,5204803006538110,421,,83624 West Slovenia Blvd.,Medford,USA,142739,Ramona@ornare.com,Rogan *Sawyer,705-959-5356,CT,53627,53627,Rogan Sawyer,3814.4,4,897.5,,1,0.00
Kirestin Frank,4532145700189808,823,,28146 West Belarus St.,Salem,USA,542668,Venus@Donec.com,Amanda *Mosley,219-526-3248,NC,78050,24359,Kirestin Frank,3963.1,4,932.5,,0,0.00
Ishmael Slater,372020657186308,519,,67140 North North Charleston St.,Waltham,USA,900118,Reagan@velit.net,Reese *Welch,216-413-1195,MD,73849,56337,Ishmael Slater,,0,,,0,0.00
Lucius Tyler,4485011099347026,419,,61535 South South Georgia and The South Sandwich Islands Ct.,Portsmouth,USA,381505,Wyoming@elementum.edu,Lucius *Tyler,290-082-1983,AZ,51971,51971,Lucius Tyler,398.4,3,125,,1,0.00
Zeus Silva,5126860296019610,820,,3469 North Tunisia Ct.,Poughkeepsie,USA,61236,Frances@ante.us,Zeus *Silva,641-076-2010,ID,76256,76256,Zeus Silva,6417.5,3,2013.3,,1,1.00
Nyssa Jacobson,5195124088395019,920,,1835 West Saint Vincent and The Grenadines St.,La Mirada,USA,152600,Elaine@dictum.org,Nyssa *Jacobson,308-784-7162,KY,5299,5299,Nyssa Jacobson,6736.2,2,3170,,1,0.00
Brittany Avery,4485722660305918,1020,,67457 North Niger Blvd.,International Falls,USA,795164,Kaye@lorem.edu,Brittany *Avery,732-620-6861,WA,79934,79934,Brittany Avery,1981,2,915,0,1,1.00
Plato Vega,5590942968861128,1123,,13153 East Reunion Ct.,Port Arthur,USA,140115,Petra@per.net,Plato *Vega,026-249-9436,WY,50069,50069,Plato Vega,6664.2,5,1257.4,0,1,0.00
Edward Valdez,5368480057720293,823,,'63654  Virgin Islands, U.S. Ct.',Temecula,USA,126329,Xyla@nisl.net,Edward *Valdez,179-964-4765,MS,92523,92523,Edward Valdez,1625.6,3,510,,1,0.00
Nina Cherry,4556420403051980,519,,97511 West Syrian Arab Republic St.,Winooski,USA,455028,Leandra@Nunc.org,Nina *Cherry,309-475-8142,ID,78484,78484,Nina Cherry,722.5,3,226.7,,1,0.00
Solomon Monroe,4288666042914187,822,,27815 East Costa Rica Blvd.,Manitowoc,USA,726317,Cecilia@sit.us,Solomon *Monroe,103-245-7510,NH,50050,50050,Solomon Monroe,531.8,3,165.7,0,1,0.00
Bradley Jefferson,5486724165894210,923,,8798 West Armenia Ct.,Hot Springs,USA,142549,Arsenio@Suspendisse.gov,Bradley *Jefferson,366-460-5948,NM,19763,19763,Bradley Jefferson,828.8,5,156,,1,0.00
Cheryl Trujillo,4916937689850491,1021,,26864 West Bahamas Ave.,Statesboro,USA,550127,Raja@Nulla.edu,Cheryl *Trujillo,038-412-8238,WI,4128,4128,Cheryl Trujillo,310.2,3,97.3,,1,0.00
Buffy Vaughan,5370943341481531,221,,22501 North Maldives Ave.,Iowa City,USA,257717,Quinlan@facilisis.edu,Jolene *Witt,408-679-8652,SC,39251,32954,Buffy Vaughan,398.4,3,125,,0,0.00
Maile Little,348414816532133,1019,,94769  Mentor Way,Concord,USA,837147,Kieran@justo.us,Maile *Little,374-046-0033,MN,6625,6625,Maile Little,2231.2,3,700,,1,0.00
Joy Scott,4532657761606868,522,,98661 West South Africa Way,Tuscaloosa,USA,735510,Mariam@Nullam.com,Joy *Scott,331-679-4599,FL,74692,74692,Joy Scott,610.9,3,191.7,,1,1.00
Ashton Day,4024007130225856,521,,79390 West Lithuania Ct.,Longview,USA,572165,Mollie@morbi.com,Piper *Durham,897-241-1494,PA,31940,65296,Ashton Day,518.5,3,162.7,,0,1.00
Angela Hobbs,4929917080369379,622,,44111 North Bermuda Ln.,Cedarburg,USA,568425,Mariko@morbi.net,Angela *Hobbs,439-293-6697,MI,98322,98322,Angela Hobbs,1684.8,3,516.7,0,1,1.00
Pearl Oconnor,4916745588987839,1019,,54112 South Charleston Blvd.,Brigham City,USA,630905,Lilah@rutrum.org,Pearl *Oconnor,145-451-6315,ME,98293,98293,Pearl Oconnor,387.7,4,89,0,1,0.00
Kiara Bean,5323302265727254,421,,9638  Trinidad and Tobago Blvd.,Saginaw,USA,154554,Indira@odio.gov,Kane *Hartman,486-568-9896,MS,20897,43400,Kiara Bean,667.8,2,315,337.4,0,0.00
Jaden Collier,4485290590745652,422,,45305  Austria Ct.,Cruz Bay,USA,756773,Imelda@diam.us,Jaden *Collier,198-449-9490,MO,30075,30075,Jaden Collier,401.2,3,125,0,1,0.00
Naida Mason,5408982445777499,421,,72105 South Korea Ln.,Fajardo,USA,61472,Margaret@nascetur.gov,Naida *Mason,284-682-1673,NH,94171,94171,Naida Mason,3372.3,2,1550.5,0,1,0.00
Zoe Mcgee,4485375575151503,1119,,11816 South Argentina St.,East St. Louis,USA,608100,Idona@Cras.gov,Ariana *Weeks,291-616-2906,CT,30153,69335,Zoe Mcgee,2056.5,3,640.7,1081.5,0,0.00
Xantha Alvarez,5116998825765436,521,,87644 South Caguas Ln.,Easton,USA,266704,Indira@dui.us,Xantha *Alvarez,318-835-0431,AZ,25160,25160,Xantha Alvarez,1992.8,2,940,0,1,0.00
Cooper Franco,4539645033821954,823,,42032 East Tonga Ave.,Vergennes,USA,673901,Keely@Aenean.net,Cooper *Franco,779-848-1236,NJ,87251,87251,Cooper Franco,5100,3,1600,,1,0.00
Derek Mckay,5314232065962903,319,,65444 East Anguilla Ct.,New Iberia,USA,177079,Sarah@vulputate.us,Derek *Mckay,721-481-9299,SC,64383,64383,Derek Mckay,4010.9,5,755,,1,1.00
Heather Trujillo,5523268786849851,1020,,43370  Mauritania Ln.,Ashland,USA,310425,Sage@morbi.com,Whitney *Bradshaw,520-515-7159,WI,44087,26610,Heather Trujillo,1398.4,4,327.5,200.6,0,0.00
Sonya Ramsey,4716460314726624,1119,,1828 North Brookings Ct.,Williamsport,USA,803548,Elmo@ullamcorper.org,Josiah *Fletcher,893-210-7566,CO,74124,1675,Sonya Ramsey,607.8,2,286,,0,1.00
Nina Byrd,5112540482328407,1020,,3643 East Burkina Faso Blvd.,Warren,USA,338426,Yael@ullamcorper.org,Avram *Macdonald,296-436-2408,ND,94816,67066,Nina Byrd,3283.1,2,1545,,0,0.00
Chandler Long,4485061775459298,519,,97053 South Fiji Ave.,Berlin,USA,673128,Seth@feugiat.gov,Chandler *Long,812-200-1230,DC,28171,28171,Chandler Long,4123.6,5,776.2,,1,0.00
Kyra Wyatt,374585422382752,722,,25564 West Italy Ln.,Bowling Green,USA,870260,Allistair@dui.edu,Kyra *Wyatt,616-135-3887,SC,21162,21162,Kyra Wyatt,3402.6,3,1070,0,1,1.00
Fulton Hall,5200561213239088,519,,28000  Belgium Way,Sugar Land,USA,340136,Finn@egestas.us,Fulton *Hall,366-918-0199,TX,93657,93657,Fulton Hall,708.3,3,216.7,0,1,0.00
Lenore Madden,5237806566154245,218,,65267 South Afghanistan Ln.,Vail,USA,344590,Raya@penatibus.edu,Amena *Grimes,197-921-9210,RI,15157,11686,Lenore Madden,627.9,3,197,,0,1.00
Cairo Brock,5590218184359134,1118,,35525 East East St. Louis Blvd.,Richmond,USA,103020,Gretchen@accumsan.org,Cairo *Brock,632-744-7896,HI,8438,8438,Cairo Brock,2454.4,5,462,,1,0.00
Dahlia Vinson,4485853194716419,1120,,62414 South Australia St.,Cincinnati,USA,412468,Oren@litora.org,Dahlia *Vinson,840-262-5165,SC,2385,2385,Dahlia Vinson,579.1,3,181.7,,1,1.00
Hayfa Armstrong,4556029895994696,919,,27626 South Portugal Way,Hawthorne,USA,765528,Emerald@et.net,Evangeline *Gallagher,852-335-1464,KS,81692,25273,Hayfa Armstrong,4119.3,8,484.6,,0,1.00
Dai Buchanan,344990803971446,722,,83874 North Albania Ln.,Blythe,USA,908885,Wang@ad.net,Dai *Buchanan,791-242-2465,CA,44223,44223,Dai Buchanan,677.9,3,211.7,0,1,0.00
Dominique Berger,4539471173971990,418,,3544 North Bhutan Way,Sunbury,USA,382577,Lamar@senectus.gov,Dominique *Berger,115-651-6414,NV,79577,79577,Dominique Berger,3545.6,2,1668.5,,1,0.00
Ulla Cochran,4532685660944262,522,,84046 West Carson Way,Watervliet,USA,552534,Ross@fringilla.com,Rhea *Ashley,179-323-0703,NY,33766,74697,Ulla Cochran,369.1,4,86.2,,0,0.00
Kaseem Crosby,4539022195114695,223,,61070 West East St. Louis Ave.,Virginia Beach,USA,365346,Wayne@lorem.gov,Kaseem *Crosby,717-027-2262,NE,87755,87755,Kaseem Crosby,1253.8,3,393.3,,1,1.00
April Wong,345024762017964,321,,24403 South Gadsden Way,North Pole,USA,812755,Gregory@felis.org,April *Wong,270-627-5040,VT,14381,14381,April Wong,495.1,4,116.5,,1,1.00
Juliet Newton,4929122840456174,421,,18858 North Monongahela Ave.,San Clemente,USA,627122,Claire@fermentum.edu,Geraldine *Mcneil,147-935-8595,ME,12378,18076,Juliet Newton,6109.4,4,1437.5,,0,1.00
Mari Shepard,4485712064546860,618,,1853  China St.,Miami Beach,USA,795306,Sylvia@sociosqu.us,Mari *Shepard,245-348-2267,MI,18814,18814,Mari Shepard,466.4,3,146.7,0,1,0.00
Maris Atkins,4916158628109895,719,,15624 South Romania Ct.,Somerville,USA,607335,Jolene@erat.org,Malcolm *Mcconnell,744-147-8827,WI,13684,91254,Maris Atkins,358.6,3,110.7,,0,0.00
Hayes Chase,4539952356629323,420,,4740  Bahamas Ln.,Bristol,USA,466773,Kevin@nisl.org,Deborah *Pennington,938-924-4243,MS,13503,9043,Hayes Chase,1636.2,5,308,,0,0.00
Susan Carney,5493560395798263,1120,,96453  Easton St.,East St. Louis,USA,61721,Samuel@orci.edu,Susan *Carney,157-728-8670,CO,82971,82971,Susan Carney,1572.5,2,740,,1,1.00
Pascale Hester,4532785881893650,922,,87864 South Saint Kitts and Nevis Way,Chino,USA,462862,Erich@aptent.net,Micah *Briggs,765-712-0455,CT,43268,90148,Pascale Hester,3840.9,3,1205,,0,0.00
Fallon Owen,4485557846571383,820,,13862 South Cayman Islands St.,Princeton,USA,740369,Sophia@Morbi.org,Ainsley *Wilkinson,533-487-8365,CA,23486,83956,Fallon Owen,530.7,2,252,,0,0.00
Hanna Moon,4024007185478848,1122,,79391 West Bosnia and Herzegovina St.,Bozeman,USA,605340,Dalton@consequat.edu,Amena *Mills,311-942-8907,OR,31762,37340,Hanna Moon,872.3,5,164.2,252.8,0,0.00
Zachery Cochran,5299753110367706,518,,87231 South Costa Rica Ct.,Slidell,USA,172991,Desirae@molestie.us,Amos *Moran,652-467-2741,OH,824,19980,Zachery Cochran,3545.6,3,1112.3,1611.7,0,1.00
Kameko Hardin,6011068715841921,819,,74913  Costa Rica Way,Concord,USA,950385,Ashton@luctus.com,Kameko *Hardin,659-313-5790,IL,7230,7230,Kameko Hardin,3235.3,2,1522.5,,1,0.00
Chelsea Carlson,4485279156838654,1120,,90461 South Claremont Blvd.,Hopkinsville,USA,556202,Vivien@lacus.edu,Maxine *Workman,285-251-9154,IA,38178,17554,Chelsea Carlson,3527.5,2,1660,,0,0.00
